Date,Open,High,Low,Close,Adj Close,Volume
2000/1/3,3369.61,3369.61,3369.61,3369.61,3369.59,0
2000/1/4,3374.11,3512.30,3360.21,3497.06,3497.03,0
2000/1/5,3500.13,3589.18,3468.69,3486.29,3486.26,0
2000/1/6,3475.46,3663.22,3454.35,3655.20,3655.17,0
2000/1/7,3701.48,3848.06,3701.48,3828.04,3828.01,0
2000/1/10,3881.75,3929.06,3832.20,3921.48,3921.45,0
2000/1/11,3924.71,3931.08,3691.56,3716.78,3716.75,0
2000/1/12,3699.29,3768.14,3585.47,3605.82,3605.79,0
2000/1/13,3604.28,3637.68,3552.05,3580.98,3580.95,0
2000/1/14,3582.16,3609.19,3524.51,3542.82,3542.79,0
2000/1/17,3535.51,3597.77,3496.00,3594.65,3594.62,0
2000/1/18,3601.88,3633.11,3558.86,3571.97,3571.94,0
2000/1/19,3560.59,3640.09,3559.94,3603.86,3603.83,0
2000/1/20,3608.17,3670.19,3603.99,3668.84,3668.81,0
2000/1/21,3687.19,3744.27,3644.08,3702.09,3702.06,0
2000/1/24,3709.19,3736.43,3646.17,3734.73,3734.70,0
2000/1/25,3752.53,3803.77,3702.65,3726.06,3726.03,0
2000/1/26,3718.13,3754.10,3700.66,3737.99,3737.96,0
2000/1/27,3782.89,3855.35,3754.10,3844.97,3844.94,0
2000/1/28,3889.14,3952.41,3869.42,3952.41,3952.38,0
2000/1/31,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/1,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/2,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/3,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/4,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/7,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/8,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/9,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/10,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/11,3952.41,3952.41,3952.41,3952.41,3952.38,0
2000/2/14,4102.65,4323.35,4096.46,4322.37,4322.34,0
2000/2/15,4442.12,4578.62,4343.58,4394.69,4394.66,0
2000/2/16,4425.85,4475.02,4329.14,4457.41,4457.38,0
2000/2/17,4564.59,4685.49,4256.26,4313.97,4313.94,0
2000/2/18,4274.10,4360.43,4095.67,4356.60,4356.57,0
2000/2/21,4389.42,4437.85,4275.30,4344.49,4344.46,0
2000/2/22,4341.85,4395.91,4174.96,4186.70,4186.67,0
2000/2/23,4134.87,4164.70,4039.87,4072.47,4072.44,0
2000/2/24,4056.90,4222.66,4056.90,4221.84,4221.81,0
2000/2/25,4254.67,4296.54,4189.37,4262.82,4262.79,0
2000/2/28,4274.66,4506.05,4244.73,4481.74,4481.71,0
2000/2/29,4523.95,4562.38,4369.48,4484.16,4484.13,0
2000/3/1,4468.97,4510.38,4398.86,4427.20,4427.17,0
2000/3/2,4409.15,4505.64,4375.88,4443.52,4443.49,0
2000/3/3,4462.38,4581.61,4462.35,4488.27,4488.24,0
2000/3/6,4519.99,4552.27,4311.89,4316.11,4316.08,0
2000/3/7,4278.05,4401.65,4261.97,4399.95,4399.92,0
2000/3/8,4411.98,4515.68,4373.83,4498.22,4498.19,0
2000/3/9,4528.86,4606.71,4474.33,4548.69,4548.66,0
2000/3/10,4559.53,4587.45,4450.31,4463.66,4463.63,0
2000/3/13,4462.32,4520.79,4451.52,4495.92,4495.89,0
2000/3/14,4377.18,4417.80,4239.93,4371.56,4371.53,0
2000/3/15,4365.55,4415.47,4326.89,4333.89,4333.86,0
2000/3/16,4304.60,4304.60,4100.78,4131.54,4131.51,0
2000/3/17,4114.42,4327.98,4114.28,4315.00,4314.97,0
2000/3/20,4252.17,4370.68,4231.79,4367.73,4367.70,0
2000/3/21,4362.09,4406.87,4350.32,4391.17,4391.14,0
2000/3/22,4394.23,4479.90,4384.68,4439.09,4439.06,0
2000/3/23,4446.45,4492.91,4381.96,4492.43,4492.40,0
2000/3/24,4515.38,4580.68,4455.65,4461.66,4461.63,0
2000/3/27,4461.67,4574.23,4461.67,4571.66,4571.63,0
2000/3/28,4615.47,4635.66,4546.37,4591.12,4591.09,0
2000/3/29,4612.88,4629.55,4510.65,4559.86,4559.83,0
2000/3/30,4566.43,4584.78,4539.33,4580.82,4580.79,0
2000/3/31,4578.61,4578.61,4488.05,4532.31,4532.28,0
2000/4/3,4523.91,4551.08,4506.40,4508.08,4508.05,0
2000/4/4,4515.01,4515.01,4403.32,4413.75,4413.72,0
2000/4/5,4398.45,4444.69,4381.85,4442.22,4442.19,0
2000/4/6,4445.00,4528.81,4436.17,4527.67,4527.64,0
2000/4/7,4553.34,4569.19,4513.14,4556.89,4556.86,0
2000/4/10,4556.81,4589.93,4522.69,4546.44,4546.41,0
2000/4/11,4556.96,4619.40,4511.94,4595.07,4595.04,0
