Date,Open,High,Low,Close,Adj Close,Volume
2000/1/4,25.2,25.69,24.71,25.55,25.55,74790000
2000/1/5,25.5,25.61,24.87,24.91,24.91,70940000
2000/1/6,24.8,25.34,24.51,24.78,24.78,85250000
2000/1/7,24.65,25,24.15,24.22,24.22,91830000
2000/1/10,24.22,24.75,24.02,24.67,24.67,68900000
2000/1/11,24.71,25.8,24.67,25.77,25.77,106490000
2000/1/12,25.73,26.55,25.38,26.28,26.28,93760000
2000/1/13,26.28,27.12,26.2,26.69,26.69,90220000
2000/1/14,26.8,28.1,26.61,28.02,28.02,68810000
2000/1/18,28.03,29,27.96,28.85,28.85,65200000
2000/1/19,28.8,29.68,28.55,29.54,29.54,69990000
2000/1/20,29.4,29.95,28.8,29.66,29.66,57720000
2000/1/21,27.85,29.1,27.7,28.2,28.2,90970000
2000/1/24,28.23,28.69,27.51,27.83,27.83,57640000
2000/1/25,27.78,28.55,27.35,28.28,28.28,54490000
2000/1/26,28.29,28.77,27.8,27.84,27.84,67170000
2000/1/27,27.78,28.1,27.19,27.32,27.32,89120000
2000/1/28,27.22,27.55,26.95,27.22,27.22,67370000
2000/1/31,27.1,27.9,26.7,27.64,27.64,81840000
2000/2/1,27.6,28.4,27.6,28.22,28.22,76410000
2000/2/2,28.22,28.65,27.45,27.55,27.55,97350000
2000/2/3,27.56,28.4,27.41,28.03,28.03,77940000
2000/2/4,28.17,28.87,27.75,28.82,28.82,67030000
2000/2/7,28.71,28.9,28.25,28.45,28.45,60110000
2000/2/8,28.44,28.49,27.91,28.02,28.02,66130000
2000/2/9,28,28.84,27.71,28.77,28.77,86910000
2000/2/10,28.6,29.5,28.6,29.43,29.43,75870000
2000/2/11,29.42,29.94,29.02,29.44,29.44,76430000
2000/2/14,29.44,30.3,29.35,30.25,30.25,58300000
2000/2/15,30.28,30.45,29.8,30.06,30.06,56970000
2000/2/16,30.02,30.24,29.35,30.05,30.05,85800000
2000/2/17,30.04,30.05,29.05,29.46,29.46,51550000
2000/2/18,29.41,29.6,29.05,29.51,29.51,36480000
2000/2/22,29.2,30.3,28.85,29.62,29.62,47200000
2000/2/23,28.88,29.45,28.72,29.39,29.39,54120000
2000/2/24,29.3,30.15,29.3,29.97,29.97,70510000
2000/2/25,29.92,30.83,29.7,30.35,30.35,75780000
2000/2/28,30.2,30.59,29.82,30.13,30.13,56870000
2000/2/29,30.19,30.63,30.1,30.43,30.43,50370000
2000/3/1,30.49,31.8,30.33,31.77,31.77,73330000
2000/3/2,31.74,32.15,31.26,31.69,31.69,58870000
2000/3/3,31.61,31.84,30.92,31.51,31.51,63190000
2000/3/6,31.34,32.2,31.11,32.18,32.18,57810000
2000/3/7,32.11,34.2,32.07,34.13,34.13,77860000
2000/3/8,34.26,34.37,30.8,31.26,31.26,91230000
2000/3/9,31.2,32.05,30.55,31.69,31.69,77090000
2000/3/10,31.68,31.99,31.08,31.76,31.76,52390000
2000/3/13,31.74,32.25,31.39,32.02,32.02,47680000
2000/3/14,32.05,32.25,31.2,31.69,31.69,67270000
2000/3/15,31.71,31.92,30.6,30.72,30.72,65990000
2000/3/16,30.67,31.2,30.13,31.09,31.09,72180000
2000/3/17,31.12,31.4,30.56,30.91,30.91,53850000
2000/3/20,30.71,30.71,29.3,29.43,29.43,63580000
2000/3/21,29.6,29.65,27.25,28,28,56350000
2000/3/22,27.8,28.25,27.25,27.46,27.46,79370000
2000/3/23,27.4,27.78,27.2,27.31,27.31,55690000
2000/3/24,27.32,28.15,27.32,28.02,28.02,59200000
2000/3/27,28,28.02,27.18,27.79,27.79,39490000
2000/3/28,27.71,27.94,27.01,27.09,27.09,64090000
2000/3/29,27.09,27.26,26.05,26.45,26.45,83960000
2000/3/30,26.45,26.75,26.24,26.7,26.7,47790000
2000/3/31,26.6,27.15,26.24,26.9,26.9,75230000
2000/4/3,26.85,27.12,26.35,26.43,26.43,31460000
2000/4/4,26.39,26.39,25.42,25.45,25.45,69050000
2000/4/5,25.32,25.85,25.11,25.83,25.83,79630000
2000/4/6,25.85,26.1,25.53,25.69,25.69,48990000
2000/4/7,25.64,25.78,24.85,25.04,25.04,69400000
2000/4/10,24.9,24.9,23.7,23.85,23.85,75600000
2000/4/11,23.89,24.38,23.79,24.14,24.14,68690000
2000/4/12,24.24,25.5,24.07,25.41,25.41,71020000
2000/4/13,25.41,25.96,25.2,25.38,25.38,77400000
2000/4/14,25.27,25.8,25.1,25.57,25.57,66750000
2000/4/17,25.45,26.03,25,25.89,25.89,49170000
2000/4/18,26,26.27,25.4,26.11,26.11,45650000
2000/4/19,25.95,27.5,25.8,27.35,27.35,59950000
2000/4/20,25.75,25.98,25.49,25.88,25.88,47700000
2000/4/24,25.95,26.18,25.82,26.04,26.04,24250000
2000/4/25,25.71,26.07,25.3,25.33,25.33,51320000
2000/4/26,25.02,25.35,24.6,24.65,24.65,77430000
2000/4/27,24.85,25.5,24.6,25.42,25.42,58660000
2000/4/28,25.65,26.09,25.45,25.74,25.74,60470000
2000/5/1,25.55,26,25.52,25.87,25.87,29440000
2000/5/2,25.95,27.08,25.8,26.89,26.89,81430000
2000/5/3,26.92,27.39,26.65,26.75,26.75,71080000
2000/5/4,26.85,27.25,26.54,26.98,26.98,50930000
2000/5/5,26.8,27.4,26.76,27.29,27.29,46030000
2000/5/8,27.3,28.15,27.05,28.09,28.09,60200000
2000/5/9,28.05,28.93,27.7,28.65,28.65,70410000
2000/5/10,28.4,28.69,28.03,28.1,28.1,62980000
2000/5/11,28.1,29.42,28,29.11,29.11,83210000
2000/5/12,29.45,30,28.82,29.62,29.62,80400000
2000/5/15,29.2,30.04,29.13,29.92,29.92,47410000
2000/5/16,30.1,30.25,29.6,29.73,29.73,51960000
2000/5/17,29.4,29.85,29.07,29.32,29.32,67350000
2000/5/18,29.8,30.48,29.3,30.33,30.33,49340000
2000/5/19,30.18,30.44,29.37,29.89,29.89,40410000
2000/5/22,29.76,29.8,29.6,28.61,28.61,38670000
2000/5/23,28.7,28.93,28.35,28.78,28.78,51690000
2000/5/24,28.86,30,28.86,29.93,29.93,71060000
2000/5/25,30.05,30.55,29.67,30.51,30.51,60370000
2000/5/26,30.53,30.82,29.7,30,30,48230000
2000/5/30,30,30.45,29.91,30.35,30.35,49360000
2000/5/31,30.15,30.77,28.95,29.01,29.01,89820000
2000/6/1,29,30.25,28.87,30.14,30.14,67230000
2000/6/2,30.14,30.65,29.78,30.35,30.35,59860000
2000/6/5,30.32,30.75,29.47,29.7,29.7,64810000
2000/6/6,29.66,30.23,29.52,29.75,29.75,51280000
2000/6/7,29.84,30.18,28.9,29.95,29.95,85180000
2000/6/8,29.98,30.47,29.5,29.78,29.78,77280000
2000/6/9,29.75,30.3,29.52,30.2,30.2,53420000
2000/6/12,30.48,31.8,30.27,31.74,31.74,76200000
2000/6/13,31.8,32.85,31.65,32.56,32.56,100470000
2000/6/14,32.49,33.17,32.1,32.85,32.85,80180000
2000/6/15,32.8,33.3,32.1,32.95,32.95,77560000
2000/6/16,32.81,32.9,31.2,32.33,32.33,66300000
2000/6/19,32.1,32.15,30.9,31.69,31.69,64110000
2000/6/20,31.61,33.4,31.36,33.05,33.05,69780000
2000/6/21,30.52,31.95,30.25,31.37,31.37,88910000
2000/6/22,31.37,32.25,30.97,32.19,32.19,59230000
2000/6/23,32.25,32.7,31.9,32.25,32.25,62020000
2000/6/26,32.26,32.7,31.59,31.63,31.63,44550000
2000/6/27,31.58,32.42,31.06,32.06,32.06,69100000
2000/6/28,32.09,32.5,31.75,31.9,31.9,51320000
2000/6/29,31.88,32.9,31.6,32.72,32.72,60460000
2000/6/30,32.77,32.95,32.4,32.5,32.5,54560000
2000/7/5,31.15,31.3,30.25,30.67,30.67,72080000
2000/7/6,30.76,31.4,29.8,29.99,29.99,86320000
2000/7/7,30.1,30.38,29.48,30.28,30.28,66050000
2000/7/10,29.99,30.15,29.53,29.69,29.69,57690000
2000/7/11,29.75,29.79,29.18,29.7,29.7,81310000
2000/7/12,29.71,30.4,29.25,30.32,30.32,81090000
2000/7/13,30.32,31.5,30.05,31.47,31.47,113770000
2000/7/14,31.5,31.6,31.02,31.4,31.4,58630000
2000/7/17,31.05,31.15,30.62,30.83,30.83,52380000
2000/7/18,30.74,32.35,30.68,31.94,31.94,72240000
2000/7/19,31.82,32.03,30.98,31.42,31.42,61530000
2000/7/20,31.3,31.68,30.25,30.93,30.93,55010000
2000/7/21,29.66,29.72,28.51,28.56,28.56,83570000
2000/7/24,28.51,28.69,27.96,28.02,28.02,70040000
2000/7/25,28.01,28.4,27.87,27.95,27.95,53040000
