Date,Open,High,Low,Close,Adj Close,Volume
2000/1/3,31.3,31.395,31.28,31.365,31.365,0
2000/1/4,31,31.135,30.45,30.525,30.525,0
2000/1/5,30.45,30.825,30.45,30.725,30.725,0
2000/1/6,30.71,31.72,30.7,30.78,30.78,0
2000/1/7,30.84,30.955,30.7,30.775,30.775,0
2000/1/10,30.7,30.875,30.61,30.755,30.755,0
2000/1/11,30.74,30.875,30.68,30.755,30.755,0
2000/1/12,30.82,30.895,30.65,30.725,30.725,0
2000/1/13,30.74,30.84,30.66,30.73,30.73,0
2000/1/14,30.7,30.87,30.62,30.7,30.7,0
2000/1/17,30.78,30.85,30.76,30.85,30.85,0
2000/1/18,30.775,30.84,30.7,30.8,30.8,0
2000/1/19,30.795,30.885,30.7,30.775,30.775,0
2000/1/20,30.78,30.85,30.72,30.785,30.785,0
2000/1/21,30.775,30.875,30.7,30.775,30.775,0
2000/1/24,30.75,30.865,30.7,30.775,30.775,0
2000/1/25,30.75,30.845,30.7,30.775,30.775,0
2000/1/26,30.73,30.845,30.7,30.775,30.775,0
2000/1/27,30.72,30.825,30.68,30.755,30.755,0
2000/1/28,30.7,30.855,30.6,30.675,30.675,0
2000/1/31,30.66,30.775,30.6,30.675,30.675,0
2000/2/1,30.65,30.72,30.6,30.68,30.68,0
2000/2/2,30.66,30.765,30.65,30.665,30.665,0
2000/2/3,30.65,30.765,30.65,30.685,30.685,0
2000/2/4,30.75,30.825,30.65,30.725,30.725,0
2000/2/7,30.73,30.815,30.65,30.685,30.685,0
2000/2/8,30.8,30.875,30.6,30.675,30.675,0
2000/2/9,30.64,30.695,30.5,30.685,30.685,0
2000/2/10,30.5,30.71,30.48,30.6,30.6,0
2000/2/11,30.66,30.725,30.5,30.565,30.565,0
2000/2/14,30.54,30.67,30.54,30.67,30.67,0
2000/2/15,30.69,30.75,30.57,30.7,30.7,0
2000/2/16,30.64,30.71,30.63,30.71,30.71,0
2000/2/17,30.645,30.74,30.62,30.67,30.67,0
2000/2/18,30.7,30.75,30.66,30.715,30.715,0
2000/2/21,30.66,30.731,30.63,30.7,30.7,0
2000/2/22,30.665,30.848,30.665,30.74,30.74,0
2000/2/23,30.77,30.86,30.65,30.725,30.725,0
