,股價指數,外銷訂單指數,貨幣總計數 M2B,工業及服務業受僱員工淨進入率,核發建照面積,半導體設備進口值,工業生產指數,電力(企業)總用電量,製造業銷售量指數,批發、零售及餐飲業營業額(十億元),非農業部門就業人數,海關出口值,機械及電機設備進口值,勞工薪資,失業率,重貼現率,擔保放款融通利率,短期融通利率,外匯存底
,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較
1967/1/1,,,,,,,,,,,,-12.98%,,,,,,,
1967/2/1,1.06%,,,,,,,,,,,-10.50%,,,,,,,
1967/3/1,0.00%,,,,,,,,,,,57.41%,,,,,,,
1967/4/1,6.32%,,,,,,,,,,,-9.41%,,,,,,,
1967/5/1,0.00%,,,,,,,,,,,4.76%,,,,,,,
1967/6/1,-1.98%,,,,,,,,,,,1.24%,,,,,,,
1967/7/1,2.02%,,,,,,,,,,,-15.51%,,,,,,,
1967/8/1,0.00%,,,,,,,,,,,3.86%,,,,,,,
1967/9/1,-0.99%,,,,,,,,,,,0.47%,,,,,,,
1967/10/1,-2.00%,,,,,,,,,,,-10.65%,,,,,,,
1967/11/1,2.04%,,,,,,,,,,,1.55%,,,,,,,
1967/12/1,3.00%,,,,,,,,,,,13.27%,,,,,,,
1968/1/1,4.85%,,,,,,,,,,,-3.60%,,,,,,,
1968/2/1,-0.93%,,,,,,,,,,,-8.41%,,,,,,,
1968/3/1,-0.93%,,,,,,,,,,,20.41%,,,,,,,
1968/4/1,-0.94%,,,,,,,,,,,20.34%,,,,,,,
1968/5/1,-0.95%,,,,,,,,,,,-2.11%,,,,,,,
1968/6/1,0.96%,,,,,,,,,,,3.96%,,,,,,,
1968/7/1,-0.95%,,,,,,,,,,,-1.38%,,,,,,,
1968/8/1,-1.92%,,,,,,,,,,,-7.72%,,,,,,,
1968/9/1,0.00%,,,,,,,,,,,-12.17%,,,,,,,
1968/10/1,-0.98%,,,,,,,,,,,19.05%,,,,,,,
1968/11/1,3.96%,,,,,,,,,,,7.64%,,,,,,,
1968/12/1,0.95%,,,,,,,,,,,4.73%,,,,,,,
1969/1/1,-0.94%,,,,,,,,,,,-24.84%,,,,,,,
1969/2/1,0.00%,,,,,,,,,,,14.59%,,,,,,,
1969/3/1,-2.86%,,,,,,,,,,,-0.75%,,,,,,,
1969/4/1,-1.96%,,,,,,,,,,,14.34%,,,,,,,
1969/5/1,-5.00%,,,,,,,,,,,15.18%,,,,,,,
1969/6/1,2.11%,,,,,,,,,,,-2.01%,,,,,,,
1969/7/1,8.25%,,,,,,,,,,,3.51%,,,,,,,
1969/8/1,-0.95%,,,,,,,,,,,14.69%,,,,,,,
1969/9/1,-0.96%,,,,,,,,,,,-9.11%,,,,,,,
1969/10/1,3.88%,,,,,,,,,,,-1.90%,,,,,,,
1969/11/1,5.61%,,,,,,,,,,,-0.83%,,,,,,,
1969/12/1,-3.54%,,,,,,,,,,,64.07%,,,,,,,
1970/1/1,3.67%,,,,,,,,,,,-59.93%,,,,,,,
1970/2/1,6.19%,,,,,,,,,,,52.12%,,,,,,,
1970/3/1,4.17%,,,,,,,,,,,20.33%,,,,,,,
1970/4/1,-0.80%,,,,,,,,,,,4.63%,,,,,,,
1970/5/1,-1.61%,,,,,,,,,,,8.85%,,,,,,,
1970/6/1,-2.46%,,,,,,,,,,,14.02%,,,,,,,
1970/7/1,3.36%,,,,,,,,,,,-15.33%,,,,,,,
1970/8/1,-2.44%,,,,,,,,,,,-5.26%,,,,,,,
1970/9/1,-2.50%,,,,,,,,,,,22.00%,,,,,,,
1970/10/1,0.85%,,,,,,,,,,,-3.46%,,,,,,,
1970/11/1,1.69%,,,,,,,,,,,17.55%,,,,,,,
1970/12/1,1.67%,,,,,,,,,,,-11.08%,,,,,,,
1971/1/1,0.82%,,,,,,,,,,,-26.71%,,,,,,,
1971/2/1,5.69%,,,,,,,,,,,73.15%,,,,,,,
1971/3/1,-3.08%,,,,,,,,,,,-9.53%,,,,,,,
1971/4/1,-11.11%,,,,,,,,,,,-1.42%,,,,,,,
1971/5/1,10.71%,,,,,,,,,,,9.73%,,,,,,,
1971/6/1,12.10%,,,,,,,,,,,-12.65%,,,,,,,
1971/7/1,3.60%,,,,,,,,,,,30.28%,,,,,,,
1971/8/1,-14.58%,,,,,,,,,,,7.79%,,,,,,,
1971/9/1,1.63%,,,,,,,,,,,-26.07%,,,,,,,
