date,CPI,Salary,M1A(期底）金額,M1B(期底),M2(期底),準備貨幣（通貨淨額）,重貼現率,基準放款利率,連鎖實質值_GDP合計_金額(新台幣百萬元),連鎖實質值_國內需求_金額(新台幣百萬元),連鎖實質值_民間消費_金額(新台幣百萬元),連鎖實質值_政府消費_金額(新台幣百萬元),連鎖實質值_資本形成_金額(新台幣百萬元),連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),連鎖實質值_商品與服務輸入_金額(新台幣百萬元),道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC),深圳成指(SZSC1),日經指數(N225), 摩台指 ,美元指數(DXM8), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),半導體設備進口值(新台幣百萬元),工業生產指數(Index 2016=100),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),批發、零售及餐飲業營業額(十億元),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數,預測台股指數漲跌
2000/2/1,0.011,-0.2109,-0.0633,-0.0224,0.0013,-0.068,0,0,0,0,0,0,0,0,0,0,-0.0655,0.099,-0.0258,0.1354,0,0.0393,0,0,0.2586,0.0533,0.0845,-0.0195,-0.0027,-0.3143,-0.0271,0.08,0.0649,0,-0.0371,-0.0043,-0.0112,0.0079,-0.0003,0.0635,-0.022,-0.0386,0.0717,下降
2000/3/1,-0.0058,-0.2748,-0.0159,0.0187,0.0085,-0.0581,0.0278,0.0005,0,0,0,0,0,0,0,0,-0.0056,0.0889,0.0384,0.0369,0,0.0076,0,0,0.302,-0.0471,0.0204,-0.0415,-0.0008,0.375,-0.0978,-0.28,-0.114,0,-0.1771,-0.0676,-0.1895,-0.0328,-0.0096,-0.2524,-0.0924,0.062,-0.0559,持平
2000/4/1,-0.0006,-0.0068,0.0025,-0.0227,-0.004,-0.0281,0,0,0.0323,0.026,0.0082,0.0369,0.0562,0.0324,0.0686,0.0578,0.044,-0.1956,0.0133,0.0552,0,-0.016,0,0,-0.1306,-0.0216,-0.1458,-0.0429,-0.0068,-0.0581,0.279,0.22,0.3732,0,0.3,0.1713,0.3264,0.0515,0.0021,0.3285,0.2211,-0.0275,0.0033,下降
2000/5/1,0.0035,0.0068,-0.0236,-0.0355,-0.0082,-0.0321,0,0,0,0,0,0,0,0,0,0,-0.0333,-0.0868,-0.0293,-0.0074,0,-0.1269,0,0,-0.0706,-0.0173,0.128,0.0749,0.0083,-0.3807,-0.022,0.15,-0.1986,0,-0.0617,0,-0.0809,-0.005,0.0027,0.0203,0.0753,-0.0353,-0.0744,持平
2000/6/1,-0.0009,0.0266,0.0351,0.0137,0.0099,0.0078,0.027,0,0,0,0,0,0,0,0,0,0.0003,0.0955,0.0307,0.0667,0,-0.0041,0,0,0.165,0.0401,0.0946,-0.0534,0.0015,-0.1429,0.0773,0.06,0.0272,0,0.061,0.0949,0.0549,0.0326,0.0031,0.0752,0.0388,0.0183,0.0093,下降
2000/7/1,-0.002,-0.0001,-0.0472,-0.0256,-0.0022,-0.0146,0,0,0.0112,-0.0001,0.0038,-0.005,-0.0051,-0.025,0.0453,0.0248,0.0076,0.0394,0.0076,0.0245,0,-0.0006,0,0,-0.0407,-0.0185,-0.0575,-0.0073,0.005,-0.1667,0.0384,0.05,-0.188,0,-0.0034,0.0253,0.0047,0.0004,0.0023,-0.05,-0.0647,0.0396,-0.0617,持平
2000/8/1,0,-0.0239,0.0209,0.0041,0.0049,-0.0017,0,0,0,0,0,0,0,0,0,0,0.033,-0.0269,0.0085,0.0479,0,-0.0371,0,0,-0.0597,-0.0223,0.0478,-0.0364,0.0044,-0.0121,-0.0678,0.53,-0.0871,0,-0.0141,-0.0211,-0.0249,0.03,0.0033,0.0956,0.1539,0.0588,-0.0329,下降
2000/9/1,0.0073,0.0151,-0.0368,-0.0321,0.0007,-0.0102,0,0,0,0,0,0,0,0,0,0,-0.0042,-0.0086,-0.0117,-0.0607,0,-0.0099,0,0,-0.061,-0.0037,0.0876,-0.0057,0.0031,0.0736,0.057,0.13,-0.0648,0,0.0163,0.018,0.0069,0.0019,0.0031,-0.0542,-0.0948,0.0327,-0.11,下降
2000/10/1,-0.0002,-0.0195,-0.0088,-0.0082,0.005,-0.0087,0,0,-0.0105,-0.0141,0.0005,-0.0229,-0.0378,-0.0934,-0.0535,-0.0646,-0.048,-0.1398,-0.0531,0,0,-0.053,0,0,-0.2496,-0.0131,-0.0276,-0.0088,0.02,-0.1371,0.0451,-0.38,-0.2537,0,0.0021,-0.0188,0.0242,-0.0019,-0.0018,0.0185,0.0325,-0.019,-0.1743,下降
2000/11/1,0.0014,-0.0205,-0.0003,0.0063,0.0098,0.0006,0,0.0026,0,0,0,0,0,0,0,0,0.0216,-0.0835,-0.0109,0.0587,0,-0.036,0,0,-0.106,-0.0146,0.0404,-0.0059,0.02,0.1722,-0.0359,-0.02,0.0022,0,0.0116,0.0504,-0.0084,-0.0228,0.0024,0.0573,0.0256,0.029,-0.0535,下降
