date,CPI,Salary,M1A(期底）金額,M1A年增率,M1B(期底),M1B(年增率),M2(期底),M2(年增率),準備貨幣（通貨淨額）,準備貨幣期底（年增率）,重貼現率,基準放款利率,連鎖實質值_GDP合計_金額(新台幣百萬元),連鎖實質值_GDP合計_對上季增率折成年率(saar%),連鎖實質值_GDP合計_對上季增率(saqr%),連鎖實質值_國內需求_金額(新台幣百萬元),連鎖實質值_國內需求_對上季增率折成年率(saar%),連鎖實質值_國內需求_對上季增率(saqr%),連鎖實質值_民間消費_金額(新台幣百萬元),連鎖實質值_民間消費_對上季增率折成年率(saar%),連鎖實質值_民間消費_對上季增率(saqr%),連鎖實質值_政府消費_金額(新台幣百萬元),連鎖實質值_政府消費_對上季增率折成年率(saar%),連鎖實質值_政府消費_對上季增率(saqr%),連鎖實質值_資本形成_金額(新台幣百萬元),連鎖實質值_資本形成_對上季增率折成年率(saar%),連鎖實質值_資本形成_對上季增率(saqr%),連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_對上季增率折成年率(saar%),連鎖實質值_商品與服務輸出_對上季增率(saqr%),連鎖實質值_商品與服務輸入_金額(新台幣百萬元),連鎖實質值_商品與服務輸入_對上季增率折成年率(saar%),連鎖實質值_商品與服務輸入_對上季增率(saqr%),道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC),深圳成指(SZSC1),日經指數(N225), 摩台指 ,美元指數(DXM8), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),半導體設備進口值(新台幣百萬元),工業生產指數(Index 2016=100),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),批發、零售及餐飲業營業額(十億元),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數
2000/1/1,85.39,66132,20094,19.6,47648,23.56,180300,9.19,6354,25.26186162,4.5,7.667,743931,3.83,0.94,932852,5,1.23,500346,8.74,2.12,153678,10.47,2.52,283918,-4.43,-1.13,-167343,394093,24.7,5.67,561435,20.79,4.84,11281.263,4013.494,1425.5855,1463.271052,,18941.60789,,,755.8685,284.894736,27.01421,6.648,30.777619,4200000000000.00 ,25.11,0.24,"2,479.00",,54.77,6.98,66.35,740.32,"8,741.00",355.19,152.53,2.85,9229
2000/2/1,86.33,52188,18823,8.63,46583,17.58,180543,7.65,5922,2.360702276,4.5,7.667,743931,3.83,0.94,932852,5,1.23,500346,8.74,2.12,153678,10.47,2.52,283918,-4.43,-1.13,-167343,394093,24.7,5.67,561435,20.79,4.84,10541.9295,4410.871,1388.8745,1661.345833,,19685.533,,,951.367,300.09,29.2975,6.5185,30.694761,2880000000000.00 ,24.43,0.08,"2,640.00",,52.74,6.95,65.61,746.16,"8,738.00",377.75,149.17,2.74,9891
2000/3/1,85.83,37849,18523,12.7,47454,21.22,182078,8.49,5578,11.44861998,4.625,7.671,743931,3.83,0.94,932852,5,1.23,500346,8.74,2.12,153678,10.47,2.52,283918,-4.43,-1.13,-167343,394093,24.7,5.67,561435,20.79,4.84,10483.39043,4802.98826,1442.212608,1722.663043,,19834.71954,,,1238.701304,285.956521,29.894347,6.247826,30.670869,3960000000000.00 ,22.04,-0.28,"2,339.00",,43.4,6.48,53.18,721.71,"8,654.00",282.41,135.39,2.91,9338
2000/4/1,85.78,37590,18570,14.09,46375,17.2,181348,7.53,5421,10.83700425,4.625,7.671,767931,13.54,3.23,957139,10.83,2.6,504470,3.34,0.82,159342,15.58,3.69,299868,24.44,5.62,-172759,421129,30.4,6.86,593887,25.2,5.78,10944.31053,3863.637368,1461.355263,1817.6925,,19517.672,,,1076.886315,279.78421,25.536842,5.98,30.462,3730000000000.00 ,28.19,0.22,"3,212.00",,56.42,7.59,70.54,758.91,"8,672.00",375.19,165.33,2.83,9369
2000/5/1,86.08,37846,18131,10.89,44730,13.91,179856,6.9,5247,8.849455763,4.625,7.671,767931,13.54,3.23,957139,10.83,2.6,504470,3.34,0.82,159342,15.58,3.69,299868,24.44,5.62,-172759,421129,30.4,6.86,593887,25.2,5.78,10580.26773,3528.416818,1418.479545,1804.162777,,17039.9715,,,1000.80909,274.936363,28.805909,6.428181,30.713913,2310000000000.00 ,27.57,0.15,"2,574.00",,52.94,7.59,64.83,755.14,"8,695.00",382.81,177.78,2.73,8672
2000/6/1,86,38853,18768,4.92,45341,7.03,181637,6.2,5288,5.24299273,4.75,7.671,767931,13.54,3.23,957139,10.83,2.6,504470,3.34,0.82,159342,15.58,3.69,299868,24.44,5.62,-172759,421129,30.4,6.86,593887,25.2,5.78,10582.92591,3865.476818,1461.95909,1924.53409,,16969.28227,,,1165.987727,285.954545,31.53,6.085,30.75909,1980000000000.00 ,29.7,0.06,"2,644.00",,56.17,8.31,68.39,779.74,"8,722.00",411.61,184.67,2.78,8753
2000/7/1,85.83,38851,17882,7.13,44179,8.43,181246,6.02,5211,6.180452551,4.75,7.671,776498,4.54,1.12,956996,-0.06,-0.01,506376,1.52,0.38,158547,-1.98,-0.5,298342,-2.02,-0.51,-168442,440199,19.38,4.53,608641,10.31,2.48,10662.963,4017.685,1473.0025,1971.71619,,16959.9345,,,1118.549,280.663157,29.716315,6.0405,30.913333,1650000000000.00 ,30.84,0.05,"2,147.00",,55.98,8.52,68.71,780.07,"8,742.00",391.04,172.72,2.89,8213
2000/8/1,85.83,37921,18255,7.43,44361,7.11,182138,6.34,5202,6.561081609,4.75,7.671,776498,4.54,1.12,956996,-0.06,-0.01,506376,1.52,0.38,158547,-1.98,-0.5,298342,-2.02,-0.51,-168442,440199,19.38,4.53,608641,10.31,2.48,11014.51217,3909.596956,1485.45826,2066.154782,,16329.8913,,,1051.796086,274.395652,31.137826,5.820869,31.048695,1630000000000.00 ,28.75,0.53,"1,960.00",,55.19,8.34,67,803.5,"8,771.00",428.41,199.31,3.06,7943
2000/9/1,86.46,38492,17584,2.36,42935,2.82,182273,6.14,5149,7.82633786,4.75,7.671,776498,4.54,1.12,956996,-0.06,-0.01,506376,1.52,0.38,158547,-1.98,-0.5,298342,-2.02,-0.51,-168442,440199,19.38,4.53,608641,10.31,2.48,10967.8675,3875.822,1468.054,1940.805238,,16168.286,,,987.6285,273.39,33.867,5.7875,31.14619,1750000000000.00 ,30.39,0.13,"1,833.00",,56.09,8.49,67.46,805.02,"8,798.00",405.17,180.41,3.16,7069
2000/10/1,86.44,37742,17429,1.97,42584,2.42,183192,6.4,5104,10.35794339,4.75,7.671,768344,-4.13,-1.05,943505,-5.52,-1.41,506615,0.19,0.05,154913,-8.86,-2.29,287065,-14.28,-3.78,-152707,416646,-19.75,-5.35,569352,-23.43,-6.46,10440.96409,3333.824545,1390.14409,1940.835294,,15311.6981,,,741.101363,269.80909,32.932272,5.736363,31.770454,1510000000000.00 ,31.76,-0.38,"1,368.00",,56.21,8.33,69.09,803.53,"8,782.00",412.65,186.28,3.1,5837
2000/11/1,86.56,36970,17424,1.68,42851,2.15,184986,6.78,5107,2.934894136,4.75,7.691,768344,-4.13,-1.05,943505,-5.52,-1.41,506615,0.19,0.05,154913,-8.86,-2.29,287065,-14.28,-3.78,-152707,416646,-19.75,-5.35,569352,-23.43,-6.46,10666.06381,3055.415238,1375.037619,2054.72909,,14760.875,,,662.554285,265.875,34.263,5.70238,32.405454,1770000000000.00 ,30.62,-0.02,"1,371.00",,56.86,8.75,68.51,785.2,"8,803.00",436.31,191.05,3.19,5525
