date,CPI,Salary,M1A(期底）金額,M1A年增率,M1B(期底),M1B(年增率),M2(期底),M2(年增率),準備貨幣（通貨淨額）,準備貨幣期底（年增率）,重貼現率,基準放款利率,當期價格_GDP合計_金額(新台幣百萬元),"當期價格_GDP合計_對上季增率折成年率(saar,%)","當期價格_GDP合計_對上季增率(saqr,%)",當期價格_國內需求_金額(新台幣百萬元),"當期價格_國內需求_對上季增率折成年率(saar,%)","當期價格_國內需求_對上季增率(saqr,%)",當期價格_民間消費_金額(新台幣百萬元),"當期價格_民間消費_對上季增率折成年率(saar,%)","當期價格_民間消費_對上季增率(saqr,%)",當期價格_政府消費_金額(新台幣百萬元),"當期價格_政府消費_對上季增率折成年率(saar,%)","當期價格_政府消費_對上季增率(saqr,%)",當期價格_資本形成_金額(新台幣百萬元),"當期價格_資本形成_對上季增率折成年率(saar,%)","當期價格_資本形成_對上季增率(saqr,%)",當期價格_國外淨需求_金額(新台幣百萬元),當期價格_商品與服務輸出_金額(新台幣百萬元),當期價格_商品與服務輸入_金額(新台幣百萬元),"當期價格_商品與服務輸入_對上季增率折成年率(saar,%)","當期價格_商品與服務輸入_對上季增率(saqr,%)",連鎖實質值_GDP合計_金額(新台幣百萬元),"連鎖實質值_GDP合計_對上季增率折成年率(saar,%)","連鎖實質值_GDP合計_對上季增率(saqr,%)",連鎖實質值_國內需求_金額(新台幣百萬元),"連鎖實質值_國內需求_對上季增率折成年率(saar,%)","連鎖實質值_國內需求_對上季增率(saqr,%)",連鎖實質值_民間消費_金額(新台幣百萬元),"連鎖實質值_民間消費_對上季增率折成年率(saar,%)","連鎖實質值_民間消費_對上季增率(saqr,%)",連鎖實質值_政府消費_金額(新台幣百萬元),"連鎖實質值_政府消費_對上季增率折成年率(saar,%)","連鎖實質值_政府消費_對上季增率(saqr,%)",連鎖實質值_資本形成_金額(新台幣百萬元),"連鎖實質值_資本形成_對上季增率折成年率(saar,%)","連鎖實質值_資本形成_對上季增率(saqr,%)",連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),"連鎖實質值_商品與服務輸出_對上季增率折成年率(saar,%)","連鎖實質值_商品與服務輸出_對上季增率(saqr,%)",連鎖實質值_商品與服務輸入_金額(新台幣百萬元),"連鎖實質值_商品與服務輸入_對上季增率折成年率(saar,%)","連鎖實質值_商品與服務輸入_對上季增率(saqr,%)",道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數
36526,85.39,66132,20094,19.6,47648,23.56,180300,9.19,6354,25.26,4.5,7.67,844399,10.7,2.57,833596,7.34,1.79,470055,7.13,1.74,133070,14.75,3.5,230471,3.73,0.92,10803,419480,408677,21.64,5.02,743931,3.83,0.94,932852,5,1.23,500346,8.74,2.12,153678,10.47,2.52,283918,-4.43,-1.13,-167343,394093,24.7,5.67,561435,20.79,4.84,11281.26,4013.49,1425.59,1463.27,755.87,284.89,27.01,6.65,30.78,4200000.00 ,25.11,0.24,2479,6.98,66.35,8741,355.19,152.53,2.85,9229
36557,86.33,52188,18823,8.63,46583,17.58,180543,7.65,5922,2.36,4.5,7.67,844399,10.7,2.57,833596,7.34,1.79,470055,7.13,1.74,133070,14.75,3.5,230471,3.73,0.92,10803,419480,408677,21.64,5.02,743931,3.83,0.94,932852,5,1.23,500346,8.74,2.12,153678,10.47,2.52,283918,-4.43,-1.13,-167343,394093,24.7,5.67,561435,20.79,4.84,10541.93,4410.87,1388.87,1661.35,951.37,300.09,29.3,6.52,30.69,2880000.00 ,24.43,0.08,2640,6.95,65.61,8738,377.75,149.17,2.74,9891
36586,85.83,37849,18523,12.7,47454,21.22,182078,8.49,5578,11.45,4.63,7.67,844399,10.7,2.57,833596,7.34,1.79,470055,7.13,1.74,133070,14.75,3.5,230471,3.73,0.92,10803,419480,408677,21.64,5.02,743931,3.83,0.94,932852,5,1.23,500346,8.74,2.12,153678,10.47,2.52,283918,-4.43,-1.13,-167343,394093,24.7,5.67,561435,20.79,4.84,10483.39,4802.99,1442.21,1722.66,1238.7,285.96,29.89,6.25,30.67,3960000.00 ,22.04,-0.28,2339,6.48,53.18,8654,282.41,135.39,2.91,9338
36617,85.78,37590,18570,14.09,46375,17.2,181348,7.53,5421,10.84,4.63,7.67,861245,8.22,1.99,851634,8.94,2.16,475433,4.66,1.14,136593,11.02,2.65,239608,16.83,3.96,9610,444887,435276,28.69,6.51,767931,13.54,3.23,957139,10.83,2.6,504470,3.34,0.82,159342,15.58,3.69,299868,24.44,5.62,-172759,421129,30.4,6.86,593887,25.2,5.78,10944.31,3863.64,1461.36,1817.69,1076.89,279.78,25.54,5.98,30.46,3730000.00 ,28.19,0.22,3212,7.59,70.54,8672,375.19,165.33,2.83,9369
36647,86.08,37846,18131,10.89,44730,13.91,179856,6.9,5247,8.85,4.63,7.67,861245,8.22,1.99,851634,8.94,2.16,475433,4.66,1.14,136593,11.02,2.65,239608,16.83,3.96,9610,444887,435276,28.69,6.51,767931,13.54,3.23,957139,10.83,2.6,504470,3.34,0.82,159342,15.58,3.69,299868,24.44,5.62,-172759,421129,30.4,6.86,593887,25.2,5.78,10580.27,3528.42,1418.48,1804.16,1000.81,274.94,28.81,6.43,30.71,2310000.00 ,27.57,0.15,2574,7.59,64.83,8695,382.81,177.78,2.73,8672
36678,86,38853,18768,4.92,45341,7.03,181637,6.2,5288,5.24,4.75,7.67,861245,8.22,1.99,851634,8.94,2.16,475433,4.66,1.14,136593,11.02,2.65,239608,16.83,3.96,9610,444887,435276,28.69,6.51,767931,13.54,3.23,957139,10.83,2.6,504470,3.34,0.82,159342,15.58,3.69,299868,24.44,5.62,-172759,421129,30.4,6.86,593887,25.2,5.78,10582.93,3865.48,1461.96,1924.53,1165.99,285.95,31.53,6.09,30.76,1980000.00 ,29.7,0.06,2644,8.31,68.39,8722,411.61,184.67,2.78,8753
36708,85.83,38851,17882,7.13,44179,8.43,181246,6.02,5211,6.18,4.75,7.67,873036,5.59,1.37,851774,0.07,0.02,475827,0.33,0.08,137636,3.09,0.76,238310,-2.15,-0.54,21261,473829,452568,16.86,3.97,776498,4.54,1.12,956996,-0.06,-0.01,506376,1.52,0.38,158547,-1.98,-0.5,298342,-2.02,-0.51,-168442,440199,19.38,4.53,608641,10.31,2.48,10662.96,4017.69,1473,1971.72,1118.55,280.66,29.72,6.04,30.91,1650000.00 ,30.84,0.05,2147,8.52,68.71,8742,391.04,172.72,2.89,8213
36739,85.83,37921,18255,7.43,44361,7.11,182138,6.34,5202,6.56,4.75,7.67,873036,5.59,1.37,851774,0.07,0.02,475827,0.33,0.08,137636,3.09,0.76,238310,-2.15,-0.54,21261,473829,452568,16.86,3.97,776498,4.54,1.12,956996,-0.06,-0.01,506376,1.52,0.38,158547,-1.98,-0.5,298342,-2.02,-0.51,-168442,440199,19.38,4.53,608641,10.31,2.48,11014.51,3909.6,1485.46,2066.15,1051.8,274.4,31.14,5.82,31.05,1630000.00 ,28.75,0.53,1960,8.34,67,8771,428.41,199.31,3.06,7943
36770,86.46,38492,17584,2.36,42935,2.82,182273,6.14,5149,7.83,4.75,7.67,873036,5.59,1.37,851774,0.07,0.02,475827,0.33,0.08,137636,3.09,0.76,238310,-2.15,-0.54,21261,473829,452568,16.86,3.97,776498,4.54,1.12,956996,-0.06,-0.01,506376,1.52,0.38,158547,-1.98,-0.5,298342,-2.02,-0.51,-168442,440199,19.38,4.53,608641,10.31,2.48,10967.87,3875.82,1468.05,1940.81,987.63,273.39,33.87,5.79,31.15,1750000.00 ,30.39,0.13,1833,8.49,67.46,8798,405.17,180.41,3.16,7069
36800,86.44,37742,17429,1.97,42584,2.42,183192,6.4,5104,10.36,4.75,7.67,871738,-0.59,-0.15,844749,-3.26,-0.82,480773,4.22,1.04,133999,-10.16,-2.64,229976,-13.27,-3.5,26989,452914,425925,-21.55,-5.89,768344,-4.13,-1.05,943505,-5.52,-1.41,506615,0.19,0.05,154913,-8.86,-2.29,287065,-14.28,-3.78,-152707,416646,-19.75,-5.35,569352,-23.43,-6.46,10440.96,3333.82,1390.14,1940.84,741.1,269.81,32.93,5.74,31.77,1510000.00 ,31.76,-0.38,1368,8.33,69.09,8782,412.65,186.28,3.1,5837
